title,year,duration,genre,rating,rating_description,movie_url,User_Agent
V for Vendetta ,2005,2h 12min,Action,8.2,"8.2 based on 1,030,518 user ratings",https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Pan's Labyrinth ,2006,1h 58min,Drama,8.2,"8.2 based on 617,391 user ratings",https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Wolf of Wall Street ,2013,3h,Biography,8.2,"8.2 based on 1,180,619 user ratings",https://www.imdb.com/title/tt0993846/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Warrior ,2011,2h 20min,Action,8.2,"8.2 based on 435,014 user ratings",https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Gangs of Wasseypur ,2012,5h 21min,Action,8.2,"8.2 based on 81,986 user ratings",https://www.imdb.com/title/tt1954470/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Secret in Their Eyes ,2009,2h 9min,Drama,8.2,"8.2 based on 192,553 user ratings",https://www.imdb.com/title/tt1305806/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Tangerines ,2013,1h 27min,Drama,8.2,"8.2 based on 40,063 user ratings",https://www.imdb.com/title/tt2991224/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Drishyam ,2015,2h 43min,Crime,8.2,"8.2 based on 69,947 user ratings",https://www.imdb.com/title/tt4430212/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
"Three Billboards Outside Ebbing, Missouri ",2017,1h 55min,Comedy,8.2,"8.2 based on 429,976 user ratings",https://www.imdb.com/title/tt5027774/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Green Book ,2018,2h 10min,Biography,8.2,"8.2 based on 373,584 user ratings",https://www.imdb.com/title/tt6966692/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Kid ,1921,1h 8min,Comedy,8.3,"8.3 based on 112,823 user ratings",https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Citizen Kane ,1941,1h 59min,Drama,8.3,"8.3 based on 402,035 user ratings",https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Metropolis ,1927,2h 33min,Drama,8.3,"8.3 based on 159,592 user ratings",https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
There Will Be Blood ,2007,2h 38min,Drama,8.2,"8.2 based on 515,702 user ratings",https://www.imdb.com/title/tt0469494/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Bicycle Thieves ,1948,1h 29min,Drama,8.3,"8.3 based on 145,894 user ratings",https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Ikiru ,1952,2h 23min,Drama,8.3,"8.3 based on 68,141 user ratings",https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Double Indemnity ,1944,1h 47min,Crime,8.3,"8.3 based on 143,128 user ratings",https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Apartment ,1960,2h 5min,Comedy,8.3,"8.3 based on 163,860 user ratings",https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Memories of Murder ,2003,2h 12min,Action,8.1,"8.1 based on 138,298 user ratings",https://www.imdb.com/title/tt0353969/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Before Sunset ,2004,1h 20min,Drama,8.1,"8.1 based on 235,460 user ratings",https://www.imdb.com/title/tt0381681/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Hotel Rwanda ,2004,2h 1min,Biography,8.1,"8.1 based on 333,746 user ratings",https://www.imdb.com/title/tt0395169/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Million Dollar Baby ,2004,2h 12min,Drama,8.1,"8.1 based on 634,538 user ratings",https://www.imdb.com/title/tt0405159/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Hachi: A Dog's Tale ,2009,1h 33min,Biography,8.1,"8.1 based on 252,653 user ratings",https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
No Country for Old Men ,2007,2h 2min,Crime,8.1,"8.1 based on 854,054 user ratings",https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Into the Wild ,2007,2h 28min,Adventure,8.1,"8.1 based on 571,297 user ratings",https://www.imdb.com/title/tt0758758/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Gran Torino ,2008,1h 56min,Drama,8.1,"8.1 based on 719,052 user ratings",https://www.imdb.com/title/tt1205489/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,Adventure,8.1,"8.1 based on 762,039 user ratings",https://www.imdb.com/title/tt1201607/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Spotlight ,2015,2h 9min,Biography,8.1,"8.1 based on 418,837 user ratings",https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Prisoners ,2013,2h 33min,Crime,8.1,"8.1 based on 598,874 user ratings",https://www.imdb.com/title/tt1392214/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Ford v Ferrari ,2019,2h 32min,Action,8.1,"8.1 based on 287,640 user ratings",https://www.imdb.com/title/tt1950186/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
12 Years a Slave ,2013,2h 14min,Biography,8.1,"8.1 based on 638,675 user ratings",https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Rush ,2013,2h 3min,Action,8.1,"8.1 based on 431,766 user ratings",https://www.imdb.com/title/tt1979320/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Inside Out ,2015,1h 35min,Animation,8.1,"8.1 based on 613,506 user ratings",https://www.imdb.com/title/tt2096673/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Help ,2011,2h 26min,Drama,8.0,"8.0 based on 427,289 user ratings",https://www.imdb.com/title/tt1454029/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The General ,1926,1h 7min,Action,8.1,"8.1 based on 80,890 user ratings",https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Passion of Joan of Arc ,1928,1h 54min,Biography,8.1,"8.1 based on 47,438 user ratings",https://www.imdb.com/title/tt0019254/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Mary and Max ,2009,1h 32min,Animation,8.1,"8.1 based on 164,074 user ratings",https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Gone with the Wind ,1939,3h 58min,Drama,8.1,"8.1 based on 289,406 user ratings",https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Mr. Smith Goes to Washington ,1939,2h 9min,Comedy,8.1,"8.1 based on 106,728 user ratings",https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
